Etiqueta,# Muestras,Media,Mediana,90% Line,95% Line,99% Line,Mín,Máx,% Error,Rendimiento,Kb/sec,Sent KB/sec
Petición Soap/XML-RPC,1500,13233,3027,54813,75913,91695,271,97348,0.000%,3.77707,4.06,0.00
Total,1500,13233,3027,54813,75913,91695,271,97348,0.000%,3.77707,4.06,0.00
