Etiqueta,# Muestras,Media,Mediana,90% Line,95% Line,99% Line,Mín,Máx,% Error,Rendimiento,Kb/sec,Sent KB/sec
BCRClientes,900,95,67,163,214,451,33,1467,0.000%,3.00106,5.97,0.00
Total,900,95,67,163,214,451,33,1467,0.000%,3.00106,5.97,0.00
