2016-10-18 15:53:18.760,1408,3- Ir a pagina reportes,OK
2016-10-18 15:53:20.249,10475,4- Cerrar sesion,OK
2016-10-18 15:53:31.113,481,1 - Login,OK
2016-10-18 15:53:31.666,10342,2 - Iniciando sesion,OK
2016-10-18 15:54:03.294,2762,3 - Ir a pagina solicitudes,OK
2016-10-18 15:54:06.185,1389,4 - Seleccionar Reporte Activo y pasivo,OK
2016-10-18 15:54:15.796,591,5 - Generar ,OK
2016-10-18 15:54:16.504,293,6 - Cerrar sesion,OK
2016-10-18 15:54:17.192,396,1-Login,OK
2016-10-18 15:54:17.670,10858,2- Iniciando sesion,OK
2016-10-18 15:54:49.209,1536,3- Ir a pagina plantillas,OK
2016-10-18 15:54:50.861,587,4- Cerrar sesion,OK
2016-10-18 15:54:51.746,525,1 - Login,OK
2016-10-18 15:54:52.390,10531,2 - Iniciando sesion,OK
2016-10-18 15:55:23.667,3079,3 - Ir a pagina solicitudes,OK
2016-10-18 15:55:26.885,4498,4 - Seleccionar Reporte efectivo,OK
2016-10-18 15:55:31.538,263,5- Cerrar sesion,OK
2016-10-18 15:55:32.134,410,1 - Login,OK
2016-10-18 15:55:32.610,10427,2 - Iniciando sesion,OK
2016-10-18 15:56:04.472,3012,3 - Ir a pagina solicitudes,OK
2016-10-18 15:56:07.625,1377,4 - Seleccionar Reporte pasivo,OK
2016-10-18 15:56:16.606,849,5 - Generar reporte pasivos,OK
2016-10-18 15:56:17.663,296,6 - Cerrar sesion,OK
2016-10-18 15:56:18.427,478,1-Login,OK
2016-10-18 15:56:18.975,10577,2- Iniciando sesion,OK
2016-10-18 15:56:50.353,1723,3- Ir a pagina ordenes,OK
2016-10-18 15:56:52.168,880,4- Cerrar sesion,OK
2016-10-18 15:56:53.373,460,1 - Login,OK
2016-10-18 15:56:53.915,10305,2 - Iniciando sesion,OK
2016-10-18 15:57:24.893,3535,3 - Ir a pagina solicitudes,OK
2016-10-18 15:57:28.569,829,4 - Seleccionar Reporte Backtesting,OK
2016-10-18 15:57:29.551,588,5 - Cargar archivo popup,OK
2016-10-18 15:57:30.384,11727,6 - Cargar archivo,OK
2016-10-18 15:57:42.243,270,7- Cerrar sesion,OK
2016-10-18 15:57:42.762,507,1-Login,OK
2016-10-18 15:57:43.360,10464,2- Iniciando sesion,OK
2016-10-18 15:58:14.463,1413,3- Ir a pagina reportes,OK
2016-10-18 15:58:16.006,10625,4- Cerrar sesion,OK
2016-10-18 15:58:27.046,470,1 - Login,OK
2016-10-18 15:58:27.598,10398,2 - Iniciando sesion,OK
2016-10-18 15:58:58.576,3218,3 - Ir a pagina solicitudes,OK
2016-10-18 15:59:01.924,1164,4 - Seleccionar Reporte pasivo,OK
2016-10-18 15:59:10.668,651,5 - Generar reporte pasivos,OK
2016-10-18 15:59:11.449,375,6 - Cerrar sesion,OK
2016-10-18 15:59:12.412,602,1-Login,OK
2016-10-18 15:59:13.194,10723,2- Iniciando sesion,OK
2016-10-18 15:59:44.754,1676,3- Ir a pagina ordenes,OK
2016-10-18 15:59:46.576,903,4- Cerrar sesion,OK
2016-10-18 15:59:47.760,429,1 - Login,OK
2016-10-18 15:59:48.302,10450,2 - Iniciando sesion,OK
2016-10-18 16:00:19.588,3057,3 - Ir a pagina solicitudes,OK
2016-10-18 16:00:22.750,767,4 - Seleccionar Reporte Backtesting,OK
2016-10-18 16:00:23.652,537,5 - Cargar archivo popup,OK
2016-10-18 16:00:24.497,11910,6 - Cargar archivo,OK
2016-10-18 16:00:36.544,328,7- Cerrar sesion,OK
2016-10-18 16:00:37.147,527,1 - Login,OK
2016-10-18 16:00:37.801,10442,2 - Iniciando sesion,OK
2016-10-18 16:01:09.313,3248,3 - Ir a pagina solicitudes,OK
2016-10-18 16:01:12.665,1204,4 - Seleccionar Reporte Activo y pasivo,OK
2016-10-18 16:01:21.453,659,5 - Generar ,OK
2016-10-18 16:01:22.259,320,6 - Cerrar sesion,OK
2016-10-18 16:01:22.960,601,1-Login,OK
2016-10-18 16:01:23.660,10272,2- Iniciando sesion,OK
2016-10-18 16:01:55.074,1385,3- Ir a pagina reportes,OK
2016-10-18 16:01:56.552,10375,4- Cerrar sesion,OK
2016-10-18 16:02:07.315,321,1-Login,OK
2016-10-18 16:02:07.710,10619,2- Iniciando sesion,OK
2016-10-18 16:02:39.684,1499,3- Ir a pagina plantillas,OK
2016-10-18 16:02:41.276,419,4- Cerrar sesion,OK
2016-10-18 16:02:41.947,435,1 - Login,OK
2016-10-18 16:02:42.445,10726,2 - Iniciando sesion,OK
2016-10-18 16:03:14.328,3001,3 - Ir a pagina solicitudes,OK
2016-10-18 16:03:17.413,4129,4 - Seleccionar Reporte efectivo,OK
2016-10-18 16:03:21.651,265,5- Cerrar sesion,OK
2016-10-18 16:03:22.181,435,1 - Login,OK
2016-10-18 16:03:22.685,10279,2 - Iniciando sesion,OK
2016-10-18 16:03:54.140,2985,3 - Ir a pagina solicitudes,OK
2016-10-18 16:03:57.276,1240,4 - Seleccionar Reporte Activo y pasivo,OK
2016-10-18 16:04:06.021,595,5 - Generar ,OK
2016-10-18 16:04:06.746,329,6 - Cerrar sesion,OK
2016-10-18 16:04:07.593,496,1-Login,OK
2016-10-18 16:04:08.184,10405,2- Iniciando sesion,OK
2016-10-18 16:04:39.655,1382,3- Ir a pagina reportes,OK
2016-10-18 16:04:41.144,10405,4- Cerrar sesion,OK
2016-10-18 16:04:51.910,465,1-Login,OK
2016-10-18 16:04:52.446,10729,2- Iniciando sesion,OK
2016-10-18 16:05:24.371,1288,3- Ir a pagina ordenes,OK
2016-10-18 16:05:25.748,681,4- Cerrar sesion,OK
2016-10-18 16:05:26.672,423,1 - Login,OK
2016-10-18 16:05:27.248,10709,2 - Iniciando sesion,OK
2016-10-18 16:05:59.118,3015,3 - Ir a pagina solicitudes,OK
2016-10-18 16:06:02.256,4173,4 - Seleccionar Reporte efectivo,OK
2016-10-18 16:06:06.546,239,5- Cerrar sesion,OK
2016-10-18 16:06:07.062,344,1 - Login,OK
2016-10-18 16:06:07.460,10306,2 - Iniciando sesion,OK
2016-10-18 16:06:39.052,2895,3 - Ir a pagina solicitudes,OK
2016-10-18 16:06:42.054,700,4 - Seleccionar Reporte Backtesting,OK
2016-10-18 16:06:42.872,511,5 - Cargar archivo popup,OK
2016-10-18 16:06:43.669,11325,6 - Cargar archivo,OK
2016-10-18 16:06:55.116,259,7- Cerrar sesion,OK
2016-10-18 16:06:55.715,442,1 - Login,OK
2016-10-18 16:06:56.299,10675,2 - Iniciando sesion,OK
2016-10-18 16:07:28.081,3061,3 - Ir a pagina solicitudes,OK
2016-10-18 16:07:31.309,1229,4 - Seleccionar Reporte pasivo,OK
2016-10-18 16:07:39.813,616,5 - Generar reporte pasivos,OK
2016-10-18 16:07:40.557,343,6 - Cerrar sesion,OK
2016-10-18 16:07:41.323,567,1-Login,OK
2016-10-18 16:07:42.080,10339,2- Iniciando sesion,OK
2016-10-18 16:08:13.527,1324,3- Ir a pagina plantillas,OK
2016-10-18 16:08:14.947,407,4- Cerrar sesion,OK
2016-10-18 16:08:15.554,394,1 - Login,OK
2016-10-18 16:08:16.021,10274,2 - Iniciando sesion,OK
2016-10-18 16:08:47.701,2870,3 - Ir a pagina solicitudes,OK
2016-10-18 16:08:50.666,1414,4 - Seleccionar Reporte Activo y pasivo,OK
2016-10-18 16:08:59.449,709,5 - Generar ,OK
2016-10-18 16:09:00.552,377,6 - Cerrar sesion,OK
2016-10-18 16:09:01.383,439,1-Login,OK
2016-10-18 16:09:01.959,10529,2- Iniciando sesion,OK
2016-10-18 16:09:33.300,1379,3- Ir a pagina reportes,OK
2016-10-18 16:09:34.774,10348,4- Cerrar sesion,OK
2016-10-18 16:09:45.465,444,1 - Login,OK
2016-10-18 16:09:45.981,10689,2 - Iniciando sesion,OK
2016-10-18 16:10:17.987,2845,3 - Ir a pagina solicitudes,OK
2016-10-18 16:10:20.977,922,4 - Seleccionar Reporte pasivo,OK
2016-10-18 16:10:28.505,519,5 - Generar reporte pasivos,OK
2016-10-18 16:10:29.138,261,6 - Cerrar sesion,OK
2016-10-18 16:10:29.785,438,1 - Login,OK
2016-10-18 16:10:30.318,10376,2 - Iniciando sesion,OK
2016-10-18 16:11:01.986,3228,3 - Ir a pagina solicitudes,OK
2016-10-18 16:11:05.334,4126,4 - Seleccionar Reporte efectivo,OK
2016-10-18 16:11:09.576,160,5- Cerrar sesion,OK
2016-10-18 16:11:09.984,392,1-Login,OK
2016-10-18 16:11:10.470,10728,2- Iniciando sesion,OK
2016-10-18 16:11:42.186,1228,3- Ir a pagina plantillas,OK
