Etiqueta,# Muestras,Media,Mediana,90% Line,95% Line,99% Line,Mín,Máx,% Error,Rendimiento,Kb/sec,Sent KB/sec
Datapower - Produccion,1200,36886,5421,120054,120086,120190,219,120644,12.000%,2.85667,2.28,0.00
Total,1200,36886,5421,120054,120086,120190,219,120644,12.000%,2.85667,2.28,0.00
