Etiqueta,# Muestras,Media,Mediana,90% Line,95% Line,99% Line,Mín,Máx,% Error,Rendimiento,Kb/sec,Sent KB/sec
Petición Soap/XML-RPC,900,915,411,2635,3805,5737,215,6980,0.000%,2.99792,3.68,0.00
Total,900,915,411,2635,3805,5737,215,6980,0.000%,2.99792,3.68,0.00
