Etiqueta,# Muestras,Media,Mediana,90% Line,95% Line,99% Line,Mín,Máx,% Error,Rendimiento,Kb/sec,Sent KB/sec
Petición Soap/XML-RPC,600,562,361,1050,2001,3567,127,4345,0.000%,2.00008,2.54,0.00
Total,600,562,361,1050,2001,3567,127,4345,0.000%,2.00008,2.54,0.00
